R,k,Tension,,,,,,,,,
0.0010,0.0596,0.00500,,,,,,,,,
0.0011,0.0655,0.00500,,,,,,,,,
0.0012,0.0714,0.00500,,,,,,,,,
0.0013,0.0773,0.00500,,,,,,,,,
0.0014,0.0832,0.00500,,,,,,,,,
0.0015,0.0890,0.00500,,,,,,,,,
0.0016,0.0949,0.00500,,,,,,,,,
0.0017,0.1008,0.00500,,,,,,,,,
0.0018,0.1066,0.00500,,,,,,,,,
0.0019,0.1125,0.00500,,,,,,,,,
0.0020,0.1183,0.00500,,,,,,,,,
0.0021,0.1241,0.00500,,,,,,,,,
0.0022,0.1300,0.00500,,,,,,,,,
0.0023,0.1358,0.00500,,,,,,,,,
0.0024,0.1416,0.00500,,,,,,,,,
0.0025,0.1474,0.00500,,,,,,,,,
0.0026,0.1531,0.00500,,,,,,,,,
0.0027,0.1589,0.00500,,,,,,,,,
0.0028,0.1647,0.00500,,,,,,,,,
0.0029,0.1704,0.00500,,,,,,,,,
0.0030,0.1762,0.00500,,,,,,,,,
0.0031,0.1819,0.00500,,,,,,,,,
0.0032,0.1877,0.00500,,,,,,,,,
0.0033,0.1934,0.00500,,,,,,,,,
0.0034,0.1991,0.00500,,,,,,,,,
0.0035,0.2048,0.00500,,,,,,,,,
0.0036,0.2105,0.00500,,,,,,,,,
0.0037,0.2162,0.00500,,,,,,,,,
0.0038,0.2219,0.00500,,,,,,,,,
0.0039,0.2276,0.00500,,,,,,,,,
0.0040,0.2332,0.00500,,,,,,,,,
0.0041,0.2389,0.00500,,,,,,,,,
0.0042,0.2445,0.00500,,,,,,,,,
0.0043,0.2502,0.00500,,,,,,,,,
0.0044,0.2558,0.00500,,,,,,,,,
0.0045,0.2614,0.00500,,,,,,,,,
0.0046,0.2670,0.00500,,,,,,,,,
0.0047,0.2726,0.00500,,,,,,,,,
0.0048,0.2782,0.00500,,,,,,,,,
0.0049,0.2838,0.00500,,,,,,,,,
0.0050,0.2894,0.00500,,,,,,,,,
0.0051,0.2950,0.00500,,,,,,,,,
0.0052,0.3005,0.00500,,,,,,,,,
0.0053,0.3061,0.00500,,,,,,,,,
0.0054,0.3117,0.00500,,,,,,,,,
0.0055,0.3172,0.00500,,,,,,,,,
0.0056,0.3227,0.00500,,,,,,,,,
0.0057,0.3282,0.00500,,,,,,,,,
0.0058,0.3338,0.00500,,,,,,,,,
0.0059,0.3393,0.00500,,,,,,,,,
0.0060,0.3448,0.00500,,,,,,,,,
0.0061,0.3502,0.00500,,,,,,,,,
0.0062,0.3557,0.00500,,,,,,,,,
0.0063,0.3612,0.00500,,,,,,,,,
0.0064,0.3667,0.00500,,,,,,,,,
0.0065,0.3721,0.00500,,,,,,,,,
0.0066,0.3776,0.00500,,,,,,,,,
0.0067,0.3830,0.00500,,,,,,,,,
0.0068,0.3884,0.00500,,,,,,,,,
0.0069,0.3938,0.00500,,,,,,,,,
0.0070,0.3992,0.00500,,,,,,,,,
0.0071,0.4047,0.00500,,,,,,,,,
0.0072,0.4100,0.00500,,,,,,,,,
0.0073,0.4154,0.00500,,,,,,,,,
0.0074,0.4208,0.00500,,,,,,,,,
0.0075,0.4262,0.00500,,,,,,,,,
0.0076,0.4315,0.00500,,,,,,,,,
0.0077,0.4369,0.00500,,,,,,,,,
0.0078,0.4422,0.00500,,,,,,,,,
0.0079,0.4476,0.00500,,,,,,,,,
0.0080,0.4529,0.00500,,,,,,,,,
0.0081,0.4582,0.00500,,,,,,,,,
0.0082,0.4635,0.00500,,,,,,,,,
0.0083,0.4688,0.00500,,,,,,,,,
0.0084,0.4741,0.00500,,,,,,,,,
0.0085,0.4794,0.00500,,,,,,,,,
0.0086,0.4847,0.00500,,,,,,,,,
0.0087,0.4899,0.00500,,,,,,,,,
0.0088,0.4952,0.00500,,,,,,,,,
0.0089,0.5005,0.00500,,,,,,,,,
0.0090,0.5057,0.00500,,,,,,,,,
0.0091,0.5109,0.00500,,,,,,,,,
0.0092,0.5162,0.00500,,,,,,,,,
0.0093,0.5214,0.00500,,,,,,,,,
0.0094,0.5266,0.00500,,,,,,,,,
0.0095,0.5318,0.00500,,,,,,,,,
0.0096,0.5370,0.00500,,,,,,,,,
0.0097,0.5422,0.00500,,,,,,,,,
0.0098,0.5473,0.00500,,,,,,,,,
0.0099,0.5525,0.00500,,,,,,,,,
0.0100,0.5576,0.00500,,,,,,,,,
0.0101,0.5628,0.00500,,,,,,,,,
0.0102,0.5679,0.00500,,,,,,,,,
0.0103,0.5731,0.00500,,,,,,,,,
0.0104,0.5782,0.00500,,,,,,,,,
0.0105,0.5833,0.00500,,,,,,,,,
0.0106,0.5884,0.00500,,,,,,,,,
0.0107,0.5935,0.00500,,,,,,,,,
0.0108,0.5986,0.00500,,,,,,,,,
0.0109,0.6037,0.00500,,,,,,,,,
0.0110,0.6088,0.00500,,,,,,,,,
0.0111,0.6138,0.00500,,,,,,,,,
0.0112,0.6189,0.00500,,,,,,,,,
0.0113,0.6239,0.00500,,,,,,,,,
0.0114,0.6290,0.00500,,,,,,,,,
0.0115,0.6340,0.00500,,,,,,,,,
0.0116,0.6390,0.00500,,,,,,,,,
0.0117,0.6440,0.00500,,,,,,,,,
0.0118,0.6490,0.00500,,,,,,,,,
0.0119,0.6540,0.00500,,,,,,,,,
0.0120,0.6590,0.00500,,,,,,,,,
0.0121,0.6640,0.00500,,,,,,,,,
0.0122,0.6690,0.00500,,,,,,,,,
0.0123,0.6739,0.00500,,,,,,,,,
0.0124,0.6789,0.00500,,,,,,,,,
0.0125,0.6838,0.00500,,,,,,,,,
0.0126,0.6888,0.00500,,,,,,,,,
0.0127,0.6937,0.00500,,,,,,,,,
0.0128,0.6986,0.00500,,,,,,,,,
0.0129,0.7035,0.00500,,,,,,,,,
0.0130,0.7084,0.00500,,,,,,,,,
0.0131,0.7133,0.00500,,,,,,,,,
0.0132,0.7182,0.00500,,,,,,,,,
0.0133,0.7231,0.00500,,,,,,,,,
0.0134,0.7280,0.00500,,,,,,,,,
0.0135,0.7328,0.00500,,,,,,,,,
0.0136,0.7377,0.00500,,,,,,,,,
0.0137,0.7425,0.00500,,,,,,,,,
0.0138,0.7473,0.00500,,,,,,,,,
0.0139,0.7522,0.00500,,,,,,,,,
0.0140,0.7570,0.00500,,,,,,,,,
0.0141,0.7618,0.00500,,,,,,,,,
0.0142,0.7666,0.00500,,,,,,,,,
0.0143,0.7714,0.00500,,,,,,,,,
0.0144,0.7762,0.00500,,,,,,,,,
0.0145,0.7810,0.00500,,,,,,,,,
0.0146,0.7857,0.00500,,,,,,,,,
0.0147,0.7905,0.00500,,,,,,,,,
0.0148,0.7952,0.00500,,,,,,,,,
0.0149,0.8000,0.00500,,,,,,,,,
0.0150,0.8047,0.00500,,,,,,,,,
0.0151,0.8094,0.00500,,,,,,,,,
0.0152,0.8142,0.00500,,,,,,,,,
0.0153,0.8189,0.00500,,,,,,,,,
0.0154,0.8236,0.00500,,,,,,,,,
0.0155,0.8283,0.00500,,,,,,,,,
0.0156,0.8329,0.00500,,,,,,,,,
0.0157,0.8376,0.00500,,,,,,,,,
0.0158,0.8423,0.00500,,,,,,,,,
0.0159,0.8469,0.00500,,,,,,,,,
0.0160,0.8516,0.00500,,,,,,,,,
0.0161,0.8562,0.00500,,,,,,,,,
0.0162,0.8609,0.00500,,,,,,,,,
0.0163,0.8655,0.00500,,,,,,,,,
0.0164,0.8701,0.00500,,,,,,,,,
0.0165,0.8747,0.00500,,,,,,,,,
0.0166,0.8793,0.00500,,,,,,,,,
0.0167,0.8839,0.00500,,,,,,,,,
0.0168,0.8885,0.00500,,,,,,,,,
0.0169,0.8930,0.00500,,,,,,,,,
0.0170,0.8976,0.00500,,,,,,,,,
0.0171,0.9022,0.00500,,,,,,,,,
0.0172,0.9067,0.00500,,,,,,,,,
0.0173,0.9112,0.00500,,,,,,,,,
0.0174,0.9158,0.00500,,,,,,,,,
0.0175,0.9203,0.00500,,,,,,,,,
0.0176,0.9248,0.00500,,,,,,,,,
0.0177,0.9293,0.00500,,,,,,,,,
0.0178,0.9338,0.00500,,,,,,,,,
0.0179,0.9383,0.00500,,,,,,,,,
0.0180,0.9428,0.00500,,,,,,,,,
0.0181,0.9473,0.00500,,,,,,,,,
0.0182,0.9517,0.00500,,,,,,,,,
0.0183,0.9562,0.00500,,,,,,,,,
0.0184,0.9606,0.00500,,,,,,,,,
0.0185,0.9651,0.00500,,,,,,,,,
0.0186,0.9695,0.00500,,,,,,,,,
0.0187,0.9739,0.00500,,,,,,,,,
0.0188,0.9783,0.00500,,,,,,,,,
0.0189,0.9827,0.00500,,,,,,,,,
0.0190,0.9872,0.00500,,,,,,,,,
0.0191,0.9916,0.00500,,,,,,,,,
0.0192,0.9959,0.00500,,,,,,,,,
0.0193,1.0003,0.00500,,,,,,,,,
0.0194,1.0047,0.00500,,,,,,,,,
0.0195,1.0090,0.00500,,,,,,,,,
0.0196,1.0134,0.00500,,,,,,,,,
0.0197,1.0177,0.00500,,,,,,,,,
0.0198,1.0220,0.00500,,,,,,,,,
0.0199,1.0263,0.00500,,,,,,,,,
0.0200,1.0307,0.00500,,,,,,,,,
0.0201,1.0350,0.00500,,,,,,,,,
0.0202,1.0393,0.00500,,,,,,,,,
0.0203,1.0435,0.00500,,,,,,,,,
0.0204,1.0478,0.00500,,,,,,,,,
0.0205,1.0521,0.00500,,,,,,,,,
0.0206,1.0563,0.00500,,,,,,,,,
0.0207,1.0606,0.00500,,,,,,,,,
0.0208,1.0648,0.00500,,,,,,,,,
0.0209,1.0691,0.00500,,,,,,,,,
0.0210,1.0733,0.00500,,,,,,,,,
0.0211,1.0775,0.00500,,,,,,,,,
0.0212,1.0817,0.00500,,,,,,,,,
0.02125,1.0838,0.00500,,,,,,,,,
0.0213,1.0859,0.00498,,,,,,,,,
0.0214,1.0901,0.00494,,,,,,,,,
0.0215,1.0943,0.00491,,,,,,,,,
0.0216,1.0985,0.00487,,,,,,,,,
0.0217,1.1026,0.00483,,,,,,,,,
0.0218,1.1068,0.00480,,,,,,,,,
0.0219,1.1110,0.00476,,,,,,,,,
0.0220,1.1151,0.00473,,,,,,,,,
0.0221,1.1192,0.00469,,,,,,,,,
0.0222,1.1234,0.00466,,,,,,,,,
0.0223,1.1275,0.00462,,,,,,,,,
0.0224,1.1316,0.00459,,,,,,,,,
0.0225,1.1357,0.00456,,,,,,,,,
0.0226,1.1398,0.00452,,,,,,,,,
0.0227,1.1438,0.00449,,,,,,,,,
0.0228,1.1479,0.00446,,,,,,,,,
0.0229,1.1520,0.00442,,,,,,,,,
0.0230,1.1560,0.00439,,,,,,,,,
0.0231,1.1601,0.00436,,,,,,,,,
0.0232,1.1641,0.00433,,,,,,,,,
0.0233,1.1682,0.00430,,,,,,,,,
0.0234,1.1722,0.00426,,,,,,,,,
0.0235,1.1762,0.00423,,,,,,,,,
0.0236,1.1802,0.00420,,,,,,,,,
0.0237,1.1842,0.00417,,,,,,,,,
0.0238,1.882,0.00414,,,,,,,,,
0.0239,1.1922,0.00411,,,,,,,,,
0.0240,1.1961,0.00408,,,,,,,,,
0.0241,1.2001,0.00405,,,,,,,,,
0.0242,1.2041,0.00402,,,,,,,,,
0.02429,1.2076,0.00400,,,,,,,,,